name,calendar_year,calendar_id,title,category,sub_category,raw_category,normalized_category,source_file,source_start_line,source_end_line,input_frequency,output_frequency,available_at,required_fields,original_formula,implemented_formula,implementation_status,implementation_notes,implementation_key,proxy_of,duplicate_refs,duplicate_type,default_params,warmup_requirement
calendar2025_1_u4ef7_683c_6ce2_52a8_7387,2025,1,价格波动率,期货-波动率因子,,期货-波动率因子,波动率因子,factors2025.md,8,43,1d,1d,T_close,,"P_t = F_{1t} \left( \frac{F_{1t}}{F_{2t}} \right)^{\frac{n_{0t}}{n_1}}

r_\tau = \frac{\log P_\tau - \log P_{\tau-n}}{\hat{s}_n / \hat{s}_1}

\hat{\sigma}_t = \sqrt{\frac{1}{N-1} \sum_{\tau=1}^{N} (r_{t\tau} - \bar{r}_t)^2}",,pending_implementation,源公式已保留，现有OHLCV/分钟线/基本面大概率可覆盖；尚待专用算子映射与逐式校验,,,alpha101/158/191/360:concept_overlap,concept_overlap,{},0
calendar2025_2_u57fa_5dee_56e0_5b50,2025,2,基差因子,期货-期限结构因子,,期货-期限结构因子,期货-期限结构因子,factors2025.md,44,63,1d,1d,T_close,,"-\frac{1}{K} \sum_{t=T-K+1}^{T} \frac{P_{main,t} - P_{spot,t}}{P_{spot,t}} * \frac{365}{M_{main,t}}",,pending_implementation,源公式已保留，现有OHLCV/分钟线/基本面大概率可覆盖；尚待专用算子映射与逐式校验,,,,,{},0
calendar2025_3_u4ef7_503c_76f2_533a_6398_91d1_56e0_5b50,2025,3,价值盲区掘金因子,基本面因子改进,,基本面因子改进,基本面因子改进,factors2025.md,64,103,1d,1d,T_close,analyst,"SUE_t = \frac{X_q - E(X_q)}{\sigma_q} = \frac{X_q - [X_{q-4} + u_q]}{\sqrt{\frac{(X_{q-1}-X_{q-5}-u_q)^2 + \cdots + (X_{q-4}-X_{q-8}-u_q)^2}{4}}}

u_q = \frac{\sum_{n=1}^{4}(X_{q-n} - X_{q-n-4})}{4}

\text{低换手波动率}_{3m} = std(\text{最近3个月日度换手率序列})

EP\_FY3_{qoq} = \frac{\text{一致预期净利润}FY3}{\text{总市值}}

F_{value} = Rank_{SUE1\_归母净利润\_MRQ} + Rank_{\text{低换手波动率}_{3m}} + Rank_{EP\_FY3_{qoq}}",,blocked_data,精确实现依赖当前数据审计未发现的数据域: analyst,,,,,{},0
calendar2025_4_u5730_7406_52a8_91cf_6ea2_51fa_6548_5e94,2025,4,地理动量溢出效应,另类因子-动量溢出,,另类因子-动量溢出,动量因子,factors2025.md,104,127,1d,1d,T_close,,"RET_{it}^{GEO} = geographic\_weight_{ij,t} \times ReT_{jt}

geographic\_weight_{ij,t} = \frac{GMV_{j,t}}{\sum_{j=1 and j \neq i}^N GMV_{j,t}}",,pending_implementation,源公式已保留，现有OHLCV/分钟线/基本面大概率可覆盖；尚待专用算子映射与逐式校验,,,alpha101/158/191/360:concept_overlap,concept_overlap,{},0
calendar2025_5_u6563_6237_7f8a_7fa4_6548_5e94,2025,5,散户羊群效应,高频因子-资金流类,,高频因子-资金流类,高频因子,factors2025.md,128,149,1m,1d,T_close,tick_trade,"RankCorr(R_t, S_{t+1})",,blocked_data,精确实现依赖当前数据审计未发现的数据域: tick_trade,,,,,{},0
calendar2025_6_u5ba2_6237_52a0_6743_6bdb_5229_7387,2025,6,客户加权毛利率,另类因子-因子改进,,另类因子-因子改进,另类因子,factors2025.md,150,170,1d,1d,T_close,supply_chain,c\_gross\_margin_i = \sum_{j=1}^{N_i} w_{ij} * gross\_margin_j,,blocked_data,精确实现依赖当前数据审计未发现的数据域: supply_chain,,,,,{},0
calendar2025_7_u6781_7aef_6536_76ca_53cd_8f6c,2025,7,极端收益反转,高频因子-动量反转类,,高频因子-动量反转类,高频因子,factors2025.md,171,192,1m,1d,T_close,close,"S = |r_{i,t} - median(\{r_{i,t}\})|

rank\left(\frac{1}{20} \sum r_{i,t_{max(S)}}\right) + rank\left(\frac{1}{20} \sum r_{i,t_{max(S)}-1}\right)","cs_rank(mean(extreme_minute_return,20))+cs_rank(mean(pre_extreme_return,20))",exact,,intraday_extreme_reversal,,alpha101/158/191/360:concept_overlap,concept_overlap,{'window': 20},20
calendar2025_8_u6700_5927_5f02_5e38_65e5_6536_76ca_7387,2025,8,最大异常日收益率,行为金融因子-投资者注意力,,行为金融因子-投资者注意力,投资因子,factors2025.md,193,213,1d,1d,T_close,close|volume,"ABNRETD = \max_{t} |r_{i,t} - \bar{r}_t|","max(abs(daily_return),20)",exact,,daily_attention_metric,,,,"{'metric': 'max_abnormal_return', 'window': 20, 'baseline_window': 250}",21
calendar2025_9_u622a_9762_52a8_91cf,2025,9,截面动量,期货-动量趋势因子,,期货-动量趋势因子,动量因子,factors2025.md,214,233,1d,1d,T_close,,XSMom_t = \frac{P_t - P_{t-J}}{P_{t-J}},,pending_implementation,源公式已保留，现有OHLCV/分钟线/基本面大概率可覆盖；尚待专用算子映射与逐式校验,,,alpha101/158/191/360:concept_overlap,concept_overlap,{},0
calendar2025_10_u4f9b_5e94_5546_52a0_6743_6bdb_5229_7387,2025,10,供应商加权毛利率,另类因子-因子改进,,另类因子-因子改进,另类因子,factors2025.md,234,254,1d,1d,T_close,supply_chain,s\_gross\_margin_i = \sum_{j=1}^{N_i} w_{ij} * gross\_margin_j,,blocked_data,精确实现依赖当前数据审计未发现的数据域: supply_chain,,,,,{},0
calendar2025_11_u4e56_79bb_7387,2025,11,乖离率,高频技术因子,,高频技术因子,量价技术类,factors2025.md,255,282,1d,1d,T_close,close,"Close_{ma,t} = \frac{\sum_{i=t-239}^{t} Close_{i,t}}{240}

BIAS_{i,t} = \frac{Close_{i,t} - Close_{ma,i,t}}{Close_{ma,i,t}} * 100

\widehat{Factor_j} = \frac{1}{\sum_{j=1}^{20} \frac{j}{20}} \times \sum_{i=1}^{20} \widehat{Factor_{j,k}} \times \frac{j}{20}","100*(close-ts_mean(close,6))/(ts_mean(close,6)+1e-12)",exact,,legacy_expression,,,,{},6
