字段,释义、备注
financial_asset_held_for_trading,企业为了近期内出售而持有的金融资产。通常情况下，以赚取差价为目的从二级市场购入的股票、债券和基金会分类为交易性金融资产 :mba :wikipedia
cash_equivalent,货币资金
client_deposits,其中:客户资金存款
bill_receivable,应收票据：指企业持有的还没有到期、尚未兑现的票据:mba
dividend_receivable,应收股利： 指企业因股权投资而应收取的现金股利以及应收其他单位的利润，不包括应收的股票股利 :mba
bill_accts_receivable,应收票据及应收账款
interest_receivable,应收利息：短期债券投资实际支付的价款中包含的已到付息期但尚未领取的债券利息 :mba
bad_debt_reserve,坏账准备：指对应收账款预提的，对不能收回或回收可能性极低的应收账款用来抵销，是应收账款的备抵账户 :mba
net_accts_receivable,应收账款净额
contract_assets,合同资产
prepayment,预付账款：企业因购货和接受劳务，按照合同规定预付给供应单位的款项 :mba
financial_receivable,应收款项融资
financial_lease_receivable,应收融资租赁款
other_equity_investment,其他权益工具投资
other_illiquidy_financial_assets,其他非流动金融资产
non_current_asset_due_one_year,一年内到期的非流动资产
other_receivables_interest_dividend,其他应收款(含利息和股利)
inventory,存货: 指企业在日常活动中持有的以备出售的产成品或商品、处在生产过程中的在产品、在生产过程或提供劳务过程中耗用的材料和物料等 :mba
consumable_biological_assets,消耗性生物资产
deferred_expense,待摊费用： 指支出先发生，费用归属后发生的事项，按照时间长短分为短期待摊费用和长期待摊费用 :mba
assets_hold_for_sale,划分为持有待售的资产
contract_work,工程施工： 工程施工是指按照设计图纸和相关文件的要求，在建设场地上将设计意图付诸实现的测量、作业、检验，形成工程实体建成最终产品的活动 :mba
other_current_assets,其他流动资产： 指除货币资金、短期投资、应收票据、应收账款、其他应收款、存货等流动资产以外的流动资产 :mba
current_assets,流动资产合计： 指企业可以在一年内或者超过一年的一个营业周期内变现或者耗用的资产 :mba
financial_asset_available_for_sale,可供出售金融资产： 指初始确认时即被指定为可供出售的非衍生金融资产，以及贷款和应收款项、持有至到期投资、交易性金融资产之外的非衍生金融资产 :mba
non_current_liability_due_one_year,一年内到期的非流动负债
debt_investment,债权投资
other_debt_investment,其他债权投资
financial_asset_hold_to_maturity,持有至到期投资： 指企业有明确意图并有能力持有至到期，到期日固定、回收金额固定或可确定的非衍生金融资产 :mba
real_estate_investment,投资性房地产： 指为赚取租金或资本增值，或两者兼有而持有的房地产 :mba
long_term_receivables,长期应收款： 长期应收款是根据长期应收款的账户余额减去未确认融资收益还有一年内到期的长期应收款 :mba
