字段,释义、备注
revenue,营业总收入：公司经营所取得的收入总额 金融类公司不公布营业总收入，因此 revenue 指标只能使用类似的一个指标-operating_revenue 来参考 :mba
operating_revenue,营业收入：公司经营主要业务所取得的收入总额 :mba
net_interest_income,利息净收入
net_commission_income,手续费及佣金净收入
commission_income,其中:手续费及佣金收入
commission_expense,其中:手续费及佣金支出
net_proxy_security_income,其中:代理买卖证券业务净收入
sub_issue_security_income,其中:证券承销业务净收入
net_trust_income,其中:受托客户资产管理业务净收入
earned_premiums,已赚保费
premiums_income,保险业务收入
reinsurance_income,其中:分保费收入
reinsurance,减:分出保费
unearned_premium_reserve,提取未到期责任准备金
total_expense,营业总成本
operating_expense,营业支出(金融类企业披露)
refunded_premiums,退保金
compensation_expense,赔付支出
amortization_expense,减:摊回赔付支出
premium_reserve,提取保险责任准备金
amortization_premium_reserve,减:摊回保险责任准备金
policy_dividend_payout,保单红利支出
reinsurance_cost,分保费用
other_operating_revenue,其他经营收入
other_operating_cost,其他经营成本
r_n_d,研发费用
other_net_income,非经营性净收益
net_open_hedge_income,净敞口套期收益
other_revenue,其他收益
credit_asset_impairment,信用资产减值损失
o_n_a_expense,业务及管理费用
amortization_reinsurance_cost,减:摊回分保费用
insurance_commission_expense,保险手续费及佣金支出
disposal_income_on_asset,资产处置收益
cost_of_goods_sold,营业成本(非金融类企业披露)：公司经营主要业务产生的实际成本 :mba
sales_tax,营业税 :mba
gross_profit,主营业务利润 :investopedia
selling_expense,销售费用：指企业在销售产品、自制半成品和工业性劳务等过程中发生的各项费用 :mba
ga_expense,管理费用：指企业的行政管理部门为管理和组织经营而发生的各项费用 :mba
financing_expense,财务费用： 指企业为筹集生产经营所需资金等而发生的费用，包括利息支出（减利息收入）、汇兑损失（减汇兑收益）以及相关的手续费等 :mba
financing_interest_income,利息收入（财务费用），财务费用科目下进一步细分的子会计科目
financing_interest_expense,利息支出（财务费用），财务费用科目下进一步细分的子会计科目
exchange_gains_or_losses,兑汇损益：发生外币交易后期末账户因此调整时，由于采用不同货币，或同一货币不同比价的汇率核算时产生的、按记账本位币折算的差额 :mba
profit_from_operation,营业利润： 企业在其全部销售业务中实现的利润，又称营业利润、经营利润，它包含主营业务利润 :mba
invest_income_associates,对联营合营企业的投资收益
fair_value_change_income,公允价值变动净收益
investment_income,投资收益：指企业进行投资所获得的经济利益 :mba
asset_impairment,资产减值损失
interest_income,利息收入
interest_expense,利息支出
non_operating_revenue,营业外收入：指企业发生的与其生产经营无直接关系的各项收入，包括固定资产盘盈、非货币性交易收益、出售无形资产收益等 :mba
non_operating_expense,营业外支出：企业发生的与其生产经营无直接关系的各项支出，如固定资产盘亏、债务重组损失、罚款支出、捐赠支出、非常损失等 :mba
disposal_loss_on_asset,非流动资产处置净损失：包括固定资产处置损失和无形资产出售损失 :mba
other_effecting_total_profits_items,影响利润总额的其他科目
profit_before_tax,利润总额： 指税前利润，也就是企业在所得税前一定时期内经营活动的总成果 :mba
income_tax,所得税：以纳税人的所得额为课税对象的各种税收的统称 :mba
